Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.1669E-19,0.0006188,0.01308,0,0,0,0.38246,0.00043672,-5.14E-21,6.9161E-21,0.00045103,7.29E-07,0.00083789,0,0,0,0,0,0,package://dofnine2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/base_link.STL,,底座70-2,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,4.2686E-10,-8.9895E-05,0.0063042,0,0,0,1.0794,0.0020879,-1.4826E-10,3.8162E-10,0.0016041,-6.1066E-07,0.0019142,0,0,0,0,0,0,package://dofnine2/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link1.STL,,S轴50-1,坐标系1,rotz1,joint1,revolute,0,0,0.09,1.5708,0,3.1416,base_link,0,1,0,100,3,-3.14,3.14,,,,,,,,
Link2,0.20999,-6.7298E-12,0.11992,0,0,0,2.5593,0.0045543,9.5236E-10,5.851E-07,0.097115,7.8875E-13,0.096147,0,0,0,0,0,0,package://dofnine2/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link2.STL,,S轴50-2;S轴50-4;下臂45-1,坐标系2,rotz2,joint2,revolute,-0.42,0,0,0,0,0,Link1,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link3,0.1417,9.2942E-08,0.002554,0,0,0,1.1711,0.0016101,-1.5519E-08,-0.00077549,0.030627,2.7799E-08,0.030394,0,0,0,0,0,0,package://dofnine2/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link3.STL,,弯头45-1;上臂40-1;R-B-T轴-1,坐标系3,rotz3,joint3,revolute,-0.4,0,0,0,0,0,Link2,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link4,1.2298E-09,-0.0056137,0.00011006,0,0,0,0.58201,0.0007618,1.4963E-11,4.4791E-11,0.00068944,-3.5959E-07,0.00056434,0,0,0,0,0,0,package://dofnine2/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link4.STL,,R-B-T轴-3,坐标系4,rotz4,joint4,revolute,0,0,0.1,1.5708,0,0,Link3,0,-1,0,100,3,-3.14,3.14,,,,,,,,
Link5,-1.1025E-09,0.0060608,-0.00087677,0,0,0,0.53907,0.00070005,2.8082E-11,-3.7536E-11,0.00062916,-2.8643E-06,0.00054563,0,0,0,0,0,0,package://dofnine2/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link5.STL,,T轴-1,坐标系5,rotz5,joint5,revolute,0,0,0.1,-1.5708,0,0,Link4,0,-1,0,100,3,-3.14,3.14,,,,,,,,
Link6,-3.3307E-16,-5.6032E-16,-0.025,0,0,0,0.0032987,8.6948E-07,-2.4815E-23,5.1433E-22,8.6948E-07,6.9358E-24,3.645E-07,0,0,0,0,0,0,package://dofnine2/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link6.STL,,套筒-1,坐标系6,rotz6,joint6,revolute,0,0,0.1,0,0,0,Link5,0,0,1,100,3,-3.14,3.14,,,,,,,,
Link7,3.1885E-09,-0.29766,2.9817E-08,0,0,0,0.18362,0.0052429,-1.4282E-10,2.891E-13,9.233E-06,-1.3378E-09,0.0052429,0,0,0,0,0,0,package://dofnine2/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link7.STL,,长杆0-1,坐标系7,rotz6,joint7,prismatic,0,0,0,1.5708,0,0,Link6,0,1,0,100,3,0.01,0.5,,,,,,,,
Link8,-0.043248,-4.6718E-09,3.9744E-08,0,0,0,0.023875,1.1971E-06,4.4295E-12,-3.8291E-11,1.4588E-05,8.1423E-14,1.4442E-05,0,0,0,0,0,0,package://dofnine2/meshes/Link8.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link8.STL,,长杆1-1,坐标系8,rotz8,joint8,revolute,0.08,0,0,-1.5708,0,0,Link7,0,1,0,100,3,-3.14,3.14,,,,,,,,
Link9,-0.059037,3.9899E-17,-5.5511E-17,0,0,0,0.033078,1.6325E-06,1.2125E-21,-1.9821E-19,3.3309E-05,-2.9569E-21,3.3424E-05,0,0,0,0,0,0,package://dofnine2/meshes/Link9.STL,1,1,1,1,0,0,0,0,0,0,package://dofnine2/meshes/Link9.STL,,长杆2-1,坐标系9,rotz9,joint9,revolute,0.11,0,0,0,0,0,Link8,0,0,1,100,3,-3.14,3.14,,,,,,,,
